"dates";"iata"
"2018-03-12";605
"2018-03-13";603
"2018-03-14";604
"2018-03-15";604
"2018-03-16";602
"2018-03-17";603
"2018-03-18";603
"2018-03-19";603
"2018-03-20";609
"2018-03-21";609
"2018-03-22";610
"2018-03-23";608
"2018-03-24";607
"2018-03-25";607
"2018-03-26";607
"2018-03-27";609
"2018-03-28";610
"2018-03-29";606
"2018-03-30";606
"2018-03-31";605
"2018-04-01";605
"2018-04-02";605
"2018-04-03";605
"2018-04-04";605
"2018-04-05";605
"2018-04-06";604
"2018-04-07";603
"2018-04-08";603
"2018-04-09";603
"2018-04-10";605
"2018-04-11";605
"2018-04-12";603
"2018-04-13";600
"2018-04-14";598
"2018-04-15";598
"2018-04-16";598
"2018-04-17";596
"2018-04-18";597
"2018-04-19";596
"2018-04-20";596
"2018-04-21";595
"2018-04-22";595
"2018-04-23";595
"2018-04-24";597
"2018-04-25";602
"2018-04-26";601
"2018-04-27";602
"2018-04-28";604
"2018-04-29";604
"2018-04-30";604
"2018-05-01";607
"2018-05-02";610
"2018-05-03";615
"2018-05-04";616
"2018-05-05";618
"2018-05-06";618
"2018-05-07";618
"2018-05-08";623
"2018-05-09";625
"2018-05-10";633
"2018-05-11";634
"2018-05-12";630
"2018-05-13";630
"2018-05-14";630
"2018-05-15";620
"2018-05-16";622
"2018-05-17";630
"2018-05-18";632
"2018-05-19";632
"2018-05-20";632
"2018-05-21";632
"2018-05-22";637
"2018-05-23";637
"2018-05-24";633
"2018-05-25";625
"2018-05-26";625
"2018-05-27";625
"2018-05-28";625
"2018-05-29";625
"2018-05-30";625
"2018-05-31";627
"2018-06-01";629
"2018-06-02";630
"2018-06-03";630
"2018-06-04";630
"2018-06-05";632
"2018-06-06";632
"2018-06-07";633
"2018-06-08";632
"2018-06-09";630
"2018-06-10";630
"2018-06-11";630
"2018-06-12";630
"2018-06-13";632
"2018-06-14";635
"2018-06-15";637
"2018-06-16";636
"2018-06-17";636
"2018-06-18";636
"2018-06-19";633
"2018-06-20";635
"2018-06-21";639
"2018-06-22";640
"2018-06-23";641
"2018-06-24";641
"2018-06-25";641
"2018-06-26";639
"2018-06-27";639
"2018-06-28";640
"2018-06-29";644
"2018-06-30";648
"2018-07-01";648
"2018-07-02";648
"2018-07-03";654
"2018-07-04";656
"2018-07-05";655
"2018-07-06";652
"2018-07-07";654
"2018-07-08";654
"2018-07-09";654
"2018-07-10";657
"2018-07-11";654
"2018-07-12";650
"2018-07-13";651
"2018-07-14";652
"2018-07-15";652
"2018-07-16";652
"2018-07-17";651
"2018-07-18";650
"2018-07-19";653
"2018-07-20";655
"2018-07-21";658
"2018-07-22";658
"2018-07-23";658
"2018-07-24";661
"2018-07-25";664
"2018-07-26";659
"2018-07-27";652
"2018-07-28";648
"2018-07-29";648
"2018-07-30";648
"2018-07-31";644
"2018-08-01";642
"2018-08-02";639
"2018-08-03";640
"2018-08-04";644
"2018-08-05";644
"2018-08-06";644
"2018-08-07";644
"2018-08-08";646
"2018-08-09";646
"2018-08-10";644
"2018-08-11";646
"2018-08-12";646
"2018-08-13";646
"2018-08-14";655
"2018-08-15";657
"2018-08-16";662
"2018-08-17";667
"2018-08-18";669
"2018-08-19";669
"2018-08-20";669
"2018-08-21";668
"2018-08-22";669
"2018-08-23";667
"2018-08-24";663
"2018-08-25";666
"2018-08-26";666
"2018-08-27";666
"2018-08-28";661
"2018-08-29";660
"2018-08-30";660
"2018-08-31";666
"2018-09-01";673
"2018-09-02";673
"2018-09-03";673
"2018-09-04";682
"2018-09-05";684
"2018-09-06";689
"2018-09-07";691
"2018-09-08";687
"2018-09-09";687
"2018-09-10";687
"2018-09-11";689
"2018-09-12";696
"2018-09-13";697
"2018-09-14";693
"2018-09-15";686
"2018-09-16";686
"2018-09-17";686
"2018-09-18";687
"2018-09-19";687
"2018-09-20";686
"2018-09-21";683
"2018-09-22";676
"2018-09-23";676
"2018-09-24";676
"2018-09-25";667
"2018-09-26";672
"2018-09-27";671
"2018-09-28";665
"2018-09-29";662
"2018-09-30";662
"2018-10-01";662
"2018-10-02";658
"2018-10-03";658
"2018-10-04";660
"2018-10-05";662
"2018-10-06";669
"2018-10-07";669
"2018-10-08";669
"2018-10-09";676
"2018-10-10";678
"2018-10-11";682
"2018-10-12";683
"2018-10-13";686
"2018-10-14";686
"2018-10-15";686
"2018-10-16";678
"2018-10-17";679
"2018-10-18";674
"2018-10-19";671
"2018-10-20";675
"2018-10-21";675
"2018-10-22";675
"2018-10-23";679
"2018-10-24";680
"2018-10-25";684
"2018-10-26";685
"2018-10-27";690
"2018-10-28";690
"2018-10-29";690
"2018-10-30";689
"2018-10-31";689
"2018-11-01";694
"2018-11-02";696
"2018-11-03";693
"2018-11-04";693
"2018-11-05";693
"2018-11-06";687
"2018-11-07";684
"2018-11-08";680
"2018-11-09";678
"2018-11-10";676
"2018-11-11";676
"2018-11-12";676
"2018-11-13";683
"2018-11-14";686
"2018-11-15";689
"2018-11-16";688
"2018-11-17";679
"2018-11-18";679
"2018-11-19";679
"2018-11-20";670
"2018-11-21";671
"2018-11-22";671
"2018-11-23";670
"2018-11-24";668
"2018-11-25";668
"2018-11-26";668
"2018-11-27";675
"2018-11-28";678
"2018-11-29";677
"2018-11-30";675
"2018-12-01";671
"2018-12-02";671
"2018-12-03";671
"2018-12-04";672
"2018-12-05";670
"2018-12-06";670
"2018-12-07";672
"2018-12-08";675
"2018-12-09";675
"2018-12-10";675
"2018-12-11";675
"2018-12-12";677
"2018-12-13";681
"2018-12-14";681
"2018-12-15";680
"2018-12-16";680
"2018-12-17";680
"2018-12-18";684
"2018-12-19";686
"2018-12-20";689
"2018-12-21";690
"2018-12-22";690
"2018-12-23";690
"2018-12-24";690
"2018-12-25";694
"2018-12-26";693
"2018-12-27";690
"2018-12-28";692
"2018-12-29";696
"2018-12-30";696
"2018-12-31";696
"2019-01-01";695
"2019-01-02";695
"2019-01-03";694
"2019-01-04";696
"2019-01-05";697
"2019-01-06";697
"2019-01-07";697
"2019-01-08";682
"2019-01-09";682
"2019-01-10";681
"2019-01-11";679
"2019-01-12";677
"2019-01-13";677
"2019-01-14";677
"2019-01-15";675
"2019-01-16";676
"2019-01-17";675
"2019-01-18";674
"2019-01-19";670
"2019-01-20";670
"2019-01-21";670
"2019-01-22";672
"2019-01-23";672
"2019-01-24";673
"2019-01-25";673
"2019-01-26";673
"2019-01-27";673
"2019-01-28";673
"2019-01-29";670
"2019-01-30";671
"2019-01-31";670
"2019-02-01";667
"2019-02-02";661
"2019-02-03";661
"2019-02-04";661
"2019-02-05";654
"2019-02-06";654
"2019-02-07";653
"2019-02-08";654
"2019-02-09";656
"2019-02-10";656
"2019-02-11";656
"2019-02-12";659
"2019-02-13";660
"2019-02-14";662
"2019-02-15";662
"2019-02-16";665
"2019-02-17";665
"2019-02-18";665
"2019-02-19";662
"2019-02-20";662
"2019-02-21";659
"2019-02-22";655
"2019-02-23";654
"2019-02-24";654
"2019-02-25";654
"2019-02-26";652
"2019-02-27";651
"2019-02-28";650
"2019-03-01";649
"2019-03-02";652
"2019-03-03";652
"2019-03-04";652
"2019-03-05";660
"2019-03-06";660
"2019-03-07";659
"2019-03-08";659
"2019-03-09";663
"2019-03-10";663
"2019-03-11";663
"2019-03-12";672
"2019-03-13";670
"2019-03-14";669
"2019-03-15";667
"2019-03-16";671
"2019-03-17";671
"2019-03-18";671
"2019-03-19";670
"2019-03-20";668
"2019-03-21";668
"2019-03-22";666
"2019-03-23";665
"2019-03-24";665
"2019-03-25";665
"2019-03-26";680
"2019-03-27";680
"2019-03-28";680
"2019-03-29";682
"2019-03-30";682
"2019-03-31";682
"2019-04-01";682
"2019-04-02";681
"2019-04-03";676
"2019-04-04";671
"2019-04-05";671
"2019-04-06";667
"2019-04-07";667
"2019-04-08";667
"2019-04-09";666
"2019-04-10";665
"2019-04-11";664
"2019-04-12";664
"2019-04-13";664
"2019-04-14";664
"2019-04-15";664
"2019-04-16";661
"2019-04-17";662
"2019-04-18";662
"2019-04-19";662
"2019-04-20";662
"2019-04-21";662
"2019-04-22";662
"2019-04-23";662
"2019-04-24";663
"2019-04-25";666
"2019-04-26";670
"2019-04-27";675
"2019-04-28";675
"2019-04-29";675
"2019-04-30";675
"2019-05-01";677
"2019-05-02";678
"2019-05-03";678
"2019-05-04";681
"2019-05-05";681
"2019-05-06";681
"2019-05-07";677
"2019-05-08";679
"2019-05-09";683
"2019-05-10";685
"2019-05-11";685
"2019-05-12";685
"2019-05-13";685
"2019-05-14";686
"2019-05-15";691
"2019-05-16";693
"2019-05-17";693
"2019-05-18";693
"2019-05-19";693
"2019-05-20";693
"2019-05-21";697
"2019-05-22";698
"2019-05-23";696
"2019-05-24";697
"2019-05-25";698
"2019-05-26";698
"2019-05-27";698
"2019-05-28";695
"2019-05-29";696
"2019-05-30";703
"2019-05-31";707
"2019-06-01";707
"2019-06-02";707
"2019-06-03";707
"2019-06-04";710
"2019-06-05";708
"2019-06-06";700
"2019-06-07";694
"2019-06-08";694
"2019-06-09";694
"2019-06-10";694
"2019-06-11";693
"2019-06-12";697
"2019-06-13";697
"2019-06-14";695
"2019-06-15";697
"2019-06-16";697
"2019-06-17";697
"2019-06-18";700
"2019-06-19";700
"2019-06-20";699
"2019-06-21";695
"2019-06-22";688
"2019-06-23";688
"2019-06-24";688
"2019-06-25";684
"2019-06-26";683
"2019-06-27";681
"2019-06-28";681
"2019-06-29";680
"2019-06-30";680
"2019-07-01";680
"2019-07-02";678
"2019-07-03";679
"2019-07-04";681
"2019-07-05";680
"2019-07-06";679
"2019-07-07";679
"2019-07-08";679
"2019-07-09";684
"2019-07-10";685
"2019-07-11";689
"2019-07-12";688
"2019-07-13";685
"2019-07-14";685
"2019-07-15";685
"2019-07-16";680
"2019-07-17";680
"2019-07-18";681
"2019-07-19";683
"2019-07-20";683
"2019-07-21";683
"2019-07-22";683
"2019-07-23";689
"2019-07-24";689
"2019-07-25";691
"2019-07-26";692
"2019-07-27";694
"2019-07-28";694
"2019-07-29";694
"2019-07-30";696
"2019-07-31";697
"2019-08-01";698
"2019-08-02";701
"2019-08-03";705
"2019-08-04";705
"2019-08-05";705
"2019-08-06";713
"2019-08-07";718
"2019-08-08";719
"2019-08-09";716
"2019-08-10";713
"2019-08-11";713
"2019-08-12";713
"2019-08-13";711
"2019-08-14";713
"2019-08-15";711
"2019-08-16";708
"2019-08-17";711
"2019-08-18";711
"2019-08-19";711
"2019-08-20";709
"2019-08-21";711
"2019-08-22";712
"2019-08-23";710
"2019-08-24";713
"2019-08-25";713
"2019-08-26";713
"2019-08-27";718
"2019-08-28";711
"2019-08-29";721
"2019-08-30";724
"2019-08-31";723
"2019-09-01";723
"2019-09-02";723
"2019-09-03";722
"2019-09-04";724
"2019-09-05";726
"2019-09-06";725
"2019-09-07";721
"2019-09-08";721
"2019-09-09";721
"2019-09-10";712
"2019-09-11";713
"2019-09-12";715
"2019-09-13";714
"2019-09-14";713
"2019-09-15";713
"2019-09-16";713
"2019-09-17";708
"2019-09-18";709
"2019-09-19";713
"2019-09-20";716
"2019-09-21";717
"2019-09-22";717
"2019-09-23";717
"2019-09-24";718
"2019-09-25";721
"2019-09-26";723
"2019-09-27";726
"2019-09-28";727
"2019-09-29";727
"2019-09-30";727
"2019-10-01";727
"2019-10-02";728
"2019-10-03";729
"2019-10-04";728
"2019-10-05";722
"2019-10-06";722
"2019-10-07";722
"2019-10-08";716
"2019-10-09";717
"2019-10-10";722
"2019-10-11";725
"2019-10-12";722
"2019-10-13";722
"2019-10-14";722
"2019-10-15";711
"2019-10-16";713
"2019-10-17";716
"2019-10-18";718
"2019-10-19";716
"2019-10-20";716
"2019-10-21";716
"2019-10-22";711
"2019-10-23";721
"2019-10-24";727
"2019-10-25";728
"2019-10-26";726
"2019-10-27";726
"2019-10-28";726
"2019-10-29";727
"2019-10-30";727
"2019-10-31";728
"2019-11-01";734
"2019-11-02";744
"2019-11-03";744
"2019-11-04";744
"2019-11-05";743
"2019-11-06";743
"2019-11-07";747
"2019-11-08";748
"2019-11-09";746
"2019-11-10";746
"2019-11-11";746
"2019-11-12";750
"2019-11-13";756
"2019-11-14";774
"2019-11-15";790
"2019-11-16";800
"2019-11-17";800
"2019-11-18";800
"2019-11-19";776
"2019-11-20";771
"2019-11-21";783
"2019-11-22";794
"2019-11-23";796
"2019-11-24";796
"2019-11-25";796
"2019-11-26";801
"2019-11-27";815
"2019-11-28";812
"2019-11-29";808
"2019-11-30";824
"2019-12-01";824
"2019-12-02";824
"2019-12-03";858
"2019-12-04";846
"2019-12-05";804
"2019-12-06";798
"2019-12-07";787
"2019-12-08";787
"2019-12-09";787
"2019-12-10";778
"2019-12-11";789
"2019-12-12";777
"2019-12-13";776
"2019-12-14";770
"2019-12-15";770
"2019-12-16";770
"2019-12-17";765
"2019-12-18";764
"2019-12-19";760
"2019-12-20";756
"2019-12-21";754
"2019-12-22";754
"2019-12-23";754
"2019-12-24";757
"2019-12-25";756
"2019-12-26";753
"2019-12-27";751
"2019-12-28";751
"2019-12-29";751
"2019-12-30";751
"2019-12-31";749
"2020-01-01";746
"2020-01-02";737
"2020-01-03";747
"2020-01-04";747
"2020-01-05";747
"2020-01-06";747
"2020-01-07";765
"2020-01-08";770
"2020-01-09";774
"2020-01-10";767
"2020-01-11";764
"2020-01-12";764
"2020-01-13";764
"2020-01-14";774
"2020-01-15";776
"2020-01-16";774
"2020-01-17";773
"2020-01-18";776
"2020-01-19";776
"2020-01-20";776
"2020-01-21";775
"2020-01-22";773
"2020-01-23";774
"2020-01-24";774
"2020-01-25";774
"2020-01-26";774
"2020-01-27";774
"2020-01-28";778
"2020-01-29";784
"2020-01-30";789
"2020-01-31";790
"2020-02-01";797
"2020-02-02";797
"2020-02-03";797
"2020-02-04";801
"2020-02-05";796
"2020-02-06";786
"2020-02-07";780
"2020-02-08";780
"2020-02-09";780
"2020-02-10";780
"2020-02-11";793
"2020-02-12";795
"2020-02-13";794
"2020-02-14";792
"2020-02-15";795
"2020-02-16";795
"2020-02-17";795
"2020-02-18";793
"2020-02-19";794
"2020-02-20";797
"2020-02-21";798
"2020-02-22";803
"2020-02-23";803
"2020-02-24";803
"2020-02-25";804
"2020-02-26";807
"2020-02-27";811
"2020-02-28";813
"2020-02-29";815
"2020-03-01";815
"2020-03-02";815
"2020-03-03";818
"2020-03-04";818
"2020-03-05";813
"2020-03-06";816
"2020-03-07";823
"2020-03-08";823
"2020-03-09";823
"2020-03-10";827
"2020-03-11";834
"2020-03-12";838
"2020-03-13";837
"2020-03-14";848
"2020-03-15";848
"2020-03-16";848
"2020-03-17";840
"2020-03-18";846
"2020-03-19";853
"2020-03-20";858
"2020-03-21";867
"2020-03-22";867
"2020-03-23";867
"2020-03-24";864
"2020-03-25";863
"2020-03-26";853
"2020-03-27";846
"2020-03-28";840
"2020-03-29";840
"2020-03-30";840
"2020-03-31";836
"2020-04-01";844
"2020-04-02";858
"2020-04-03";862
"2020-04-04";865
"2020-04-05";865
"2020-04-06";865
"2020-04-07";867
"2020-04-08";860
"2020-04-09";851
"2020-04-10";855
"2020-04-11";844
"2020-04-12";844
"2020-04-13";844
"2020-04-14";841
"2020-04-15";845
"2020-04-16";851
"2020-04-17";855
"2020-04-18";856
"2020-04-19";856
"2020-04-20";856
"2020-04-21";854
"2020-04-22";856
"2020-04-23";860
"2020-04-24";859
"2020-04-25";860
"2020-04-26";860
"2020-04-27";860
"2020-04-28";858
"2020-04-29";859
"2020-04-30";854
"2020-05-01";841
"2020-05-02";836
"2020-05-03";836
"2020-05-04";836
"2020-05-05";835
"2020-05-06";837
"2020-05-07";837
"2020-05-08";838
"2020-05-09";841
"2020-05-10";841
"2020-05-11";841
"2020-05-12";826
"2020-05-13";826
"2020-05-14";824
"2020-05-15";822
"2020-05-16";821
"2020-05-17";821
"2020-05-18";821
"2020-05-19";828
"2020-05-20";825
"2020-05-21";821
"2020-05-22";814
"2020-05-23";805
"2020-05-24";805
"2020-05-25";805
"2020-05-26";809
"2020-05-27";808
"2020-05-28";806
"2020-05-29";814
"2020-05-30";817
"2020-05-31";817
"2020-06-01";817
"2020-06-02";800
"2020-06-03";798
"2020-06-04";787
"2020-06-05";778
"2020-06-06";780
"2020-06-07";780
"2020-06-08";780
"2020-06-09";768
"2020-06-10";768
"2020-06-11";770
"2020-06-12";770
"2020-06-13";782
"2020-06-14";782
"2020-06-15";782
"2020-06-16";793
"2020-06-17";792
"2020-06-18";783
"2020-06-19";792
"2020-06-20";809
"2020-06-21";809
"2020-06-22";809
"2020-06-23";818
"2020-06-24";818
"2020-06-25";820
"2020-06-26";820
"2020-06-27";816
"2020-06-28";816
"2020-06-29";816
"2020-06-30";822
"2020-07-01";821
"2020-07-02";822
"2020-07-03";819
"2020-07-04";806
"2020-07-05";806
"2020-07-06";806
"2020-07-07";803
"2020-07-08";801
"2020-07-09";796
"2020-07-10";788
"2020-07-11";787
"2020-07-12";787
"2020-07-13";787
"2020-07-14";793
"2020-07-15";791
"2020-07-16";789
"2020-07-17";786
"2020-07-18";786
"2020-07-19";786
"2020-07-20";786
"2020-07-21";788
"2020-07-22";787
"2020-07-23";781
"2020-07-24";771
"2020-07-25";769
"2020-07-26";769
"2020-07-27";769
"2020-07-28";775
"2020-07-29";772
"2020-07-30";768
"2020-07-31";763
"2020-08-01";758
"2020-08-02";758
"2020-08-03";758
"2020-08-04";757
"2020-08-05";759
"2020-08-06";764
"2020-08-07";774
"2020-08-08";777
"2020-08-09";777
"2020-08-10";777
"2020-08-11";789
"2020-08-12";795
"2020-08-13";801
"2020-08-14";794
"2020-08-15";793
"2020-08-16";793
"2020-08-17";793
"2020-08-18";798
"2020-08-19";802
"2020-08-20";802
"2020-08-21";790
"2020-08-22";786
"2020-08-23";786
"2020-08-24";786
"2020-08-25";794
"2020-08-26";790
"2020-08-27";786
"2020-08-28";787
"2020-08-29";785
"2020-08-30";785
"2020-08-31";785
"2020-09-01";780
"2020-09-02";779
"2020-09-03";774
"2020-09-04";772
"2020-09-05";773
"2020-09-06";773
"2020-09-07";773
"2020-09-08";772
"2020-09-09";773
"2020-09-10";775
"2020-09-11";770
"2020-09-12";769
"2020-09-13";769
"2020-09-14";769
"2020-09-15";770
"2020-09-16";768
"2020-09-17";764
"2020-09-18";762
"2020-09-19";762
"2020-09-20";762
"2020-09-21";762
"2020-09-22";764
"2020-09-23";769
"2020-09-24";775
"2020-09-25";780
"2020-09-26";785
"2020-09-27";785
"2020-09-28";785
"2020-09-29";789
"2020-09-30";787
"2020-10-01";785
"2020-10-02";786
"2020-10-03";786
"2020-10-04";786
"2020-10-05";786
"2020-10-06";790
"2020-10-07";793
"2020-10-08";799
"2020-10-09";797
"2020-10-10";797
"2020-10-11";797
"2020-10-12";797
"2020-10-13";795
"2020-10-14";796
"2020-10-15";797
"2020-10-16";797
"2020-10-17";801
"2020-10-18";801
"2020-10-19";801
"2020-10-20";804
"2020-10-21";799
"2020-10-22";787
"2020-10-23";785
"2020-10-24";782
"2020-10-25";782
"2020-10-26";782
"2020-10-27";776
"2020-10-28";777
"2020-10-29";774
